strain	Albendazole_cv.EXT	Albendazole_cv.TOF	Albendazole_f.ad	Albendazole_f.L1	Albendazole_f.L2L3	Albendazole_f.L4	Albendazole_iqr.EXT	Albendazole_iqr.TOF	Albendazole_mean.EXT	Albendazole_mean.norm.EXT	Albendazole_mean.TOF	Albendazole_median.EXT	Albendazole_median.norm.EXT	Albendazole_median.TOF	Albendazole_n	Albendazole_norm.n	Albendazole_q10.EXT	Albendazole_q10.norm.EXT	Albendazole_q10.TOF	Albendazole_q25.EXT	Albendazole_q25.norm.EXT	Albendazole_q25.TOF	Albendazole_q75.EXT	Albendazole_q75.norm.EXT	Albendazole_q75.TOF	Albendazole_q90.EXT	Albendazole_q90.norm.EXT	Albendazole_q90.TOF	Albendazole_var.EXT	Albendazole_var.TOF
JU2478	-0.133741974140345	-0.0551787251138869	0.0785279534682483	-0.011798026790542	-0.0345916658686623	0.0242876218991348	-5.67521079622896	5.48775495497354	131.271693885118	0.339865016033034	19.1341477078645	162.138480401511	0.437777644560025	28.131561932943	-47.6811977293096	-10.5752014372336	33.5173970513244	0.208481996943211	11.7180509735339	39.0456418075463	0.161069971194125	23.8372447497951	154.880564533693	0.334048450681237	17.7581750627737	143.777355209683	0.162664312722711	9.00722091721532	3609.72531144822	-1057.11870288126
JU2513	-0.0346337120579352	-0.0230320451922736	-0.0275203020279132	0.0180636375486791	0.0436289063619752	-0.0211244659745937	-53.6163273173137	-2.67904535621573	-41.1015868143426	0.0465265178753378	-11.5867199971775	-8.50303154779537	0.0473208877063959	-11.6682266198816	44.973125314563	14.7034909218026	-3.02787633789225	0.0488111492908323	-6.67348201279004	-7.3369266148744	0.0457896364871428	-8.24349074872283	-91.9363247864675	0.0471716542928721	-14.8245155791891	-64.4144914346416	-0.0208746441250863	-20.9134735570855	-34035.4399535933	-1779.50444914301
JU2522	0.135881033261827	0.0582802626713707	-0.0625933224182282	0.0250711742560299	0.0719541586409117	-0.0262316930935517	-73.6833884131378	3.13799467945612	-122.891268735287	-0.193754143136314	-24.6875779944377	-184.845054261539	-0.24441546309613	-43.4929332900277	-12.9962027067379	-3.91236505696754	-14.9415598250804	-0.0333469287338933	-5.39601866296851	-51.6671361045229	-0.163876291003098	-24.2106349582713	-139.824690165812	-0.268850815132673	-20.4323572933107	-218.456800227452	-0.150016838432164	-29.502866360699	-49646.5068189684	-1490.93825912055
JU2526	-0.112800432509044	-0.0690328240842313	0.045867763257664	-0.0274550663507871	-0.0525332511071061	0.0494999642217035	-1.82304650549663	-16.3314860233468	45.7339760618497	0.0684899925159944	14.8991577752512	83.0741852112113	0.0447138156229799	19.2771628439016	16.6799244145334	5.70559429000721	59.9502211409963	0.0843126692604864	12.4771066751979	30.6749705012183	0.0982478357533381	24.1996631968273	47.1558479597211	0.048637015533463	10.1858653680015	45.1480968719336	-0.0128785112390941	-1.01776518586771	-25309.1003054091	-2177.64542066499
JU2534	-0.10673520950139	-0.0607631722095276	-0.00857383802143648	-0.0564804260700139	0.018250586363007	0.0195100813440572	-20.2115833361282	-24.9185662796886	43.5267505455639	0.154001117952143	5.5642325694545	51.2931408597528	0.229809428552418	8.71516640155838	-9.3546038723021	-2.08854529612626	29.7215701358863	0.0715610425192478	11.9663131346146	69.217301110043	0.141211668331495	24.1519522132038	49.0912189901428	0.215352507206639	-5.02377995430662	44.6851153739271	0.07395822729822	-8.69565210058406	-24153.3250948046	-2600.06769485618
JU2565	-0.024120726076211	-0.0353437951675388	-0.149498986340968	0.0194231833953367	0.148687441041527	0.0140529352449896	-277.140698952803	-39.7069678411869	-178.584873845197	-0.174347768949333	-47.4063925815914	-91.5019458691534	-0.119399438780413	-34.8968912056395	22.3916439117969	4.90420567307089	-23.4308404681126	-0.0850526808733681	-5.93724426061341	-78.4947942576269	-0.175121080923948	-25.4130058930667	-336.815547504052	-0.335999856675116	-61.8466485690643	-459.364398402899	-0.287099453198677	-100.130257014924	-125809.796275222	-7640.9917324516
JU2566	-0.0554905745703411	-0.089416802268923	-0.0495715458460411	-0.0520968564606192	0.0309344712177471	0.090931375115256	-118.082604201003	-50.3967109177305	-5.1239968243062	0.119707537121471	-5.82968257047855	83.5637885256089	0.165552947619717	8.98460774771523	-77.0225756028458	-24.7359356169241	51.9329916898592	0.108744575299325	26.2658888201953	34.9871476072914	0.106208178072162	20.522396534728	-58.9161072365975	0.129500473031652	-28.5667016548663	-109.57765849306	0.0441207737134173	-43.4541624791583	-50848.8480422519	-6518.61968430782
JU2570	-0.120598907617392	-0.0879393062053961	-0.0709136885716119	-0.045817513756919	-0.00256954567768957	0.113004516358851	-140.931095360231	-42.3439649925459	-15.8325031358754	0.0871308420186236	-13.3002438930442	-10.181413225837	0.0616532904257306	0.441489195679213	21.473973331536	3.95424861407981	54.3903319860971	0.127489088008496	20.4640825911751	47.6495829206978	0.196318112643239	8.16909004221513	-85.1926915724215	0.0211121823145798	-34.2309824949256	-100.7955459522	-0.0118924280128609	-47.5685833144923	-75002.4483499484	-5006.36956478439
JU2572	-0.107834953438259	-0.061505403194549	-0.123056739035284	-0.0059259560872565	0.0189946526466826	0.0647642179150306	-154.238480077112	-35.15127356696	-52.0887403750006	0.0485137802428897	-22.6041710049113	56.8588523425132	0.109145102976221	-8.12628137035612	-90.9223535236006	-12.1690229752465	-14.4758349649955	0.0530673777428053	-0.277723769403007	17.0438586014299	0.0710877828215714	-2.34499816929347	-158.888872465302	0.035882164733987	-41.3708438489053	-187.660010467769	-0.0922245086492693	-69.7857255463976	-113807.012934872	-5368.83047034447
JU2575	0.00597163359832997	0.0237269920632802	-0.162263541368371	0.00457472300052838	0.127249007979292	0.0283211164841195	-146.871779461697	-26.9035805410617	-153.93026915896	-0.243898374224134	-34.4991760895891	-84.9313192420828	-0.318645496372162	-38.2316308409949	-43.3748225308859	-11.1117527961784	-21.8411114248028	-0.113541490393168	-4.8558453187564	-103.792953637441	-0.240135735086404	-25.6098042226374	-209.046189376249	-0.278544824941275	-52.6200832683138	-349.76862862164	-0.422338815507606	-69.8515487541598	-69584.3292288431	-543.62985233565
JU2576	-0.0454441792772667	0.00199894304730827	-0.16935176036257	0.0367204168927729	0.140771739855048	-0.0291355319523119	-237.98466707129	-38.7102757146882	-170.451680385052	-0.24987897913635	-47.3823945874807	-66.891504652132	-0.123417580446776	-40.2470661111368	-15.6801679315599	-7.40258759894214	-29.6278395328326	-0.0928723154888581	-11.1799520501086	-74.5268096734115	-0.208343104645715	-29.7357335871979	-318.070474561215	-0.437332252112387	-72.7397237224628	-389.316384112614	-0.443999760049833	-89.7897557055859	-98753.2694274181	-4537.67567822034
JU2578	-0.0473115101774548	-0.051072624368562	0.0595105340825468	-0.0104965342054226	-0.0500695171530116	0.00472925312752665	-166.735745447644	-47.9422528164692	-65.9044255227549	0.0958247731929031	-3.89197963752822	-40.747544856586	0.0505373267433766	-17.3295917351101	25.7156784145672	8.12615150464278	22.4593876024512	0.0767553263022086	17.4108033443437	117.617610908995	0.170944385417111	20.9968433183618	-134.233046129667	0.167682599950093	-25.4164650762981	11.9947183758208	0.195126630454466	-20.901892208996	-117405.591098612	-6083.11599943608
JU258	-0.0884956620032565	-0.0408102413269725	-0.000974776245582495	-0.0202926844465809	-0.0826322321006278	0.0500700886023879	10.204912036736	-1.35308314309282	36.440947798642	0.110206799594823	9.33288673520254	10.6767267925876	0.126413346756617	14.1668424904759	-21.8024066707987	-14.174047848079	-2.73699431964054	0.136817892697202	7.14886716406614	95.7781983140337	0.236591121947758	-6.05075312526456	91.7178976663348	0.178064258611457	9.1379707395859	86.0461541026525	0.0359390798211038	4.75773978481438	-19384.2560496076	-1298.23738105537
JU2581	0.0165685823048886	0.0726915222747974	0.217780123213488	0.00404194376281907	-0.115543869268366	-0.110914960237797	503.763868579728	123.190511870619	316.064050940704	0.145738022372533	80.4537461588781	395.545509108499	0.293052213905253	74.4441151260534	33.5737090898493	10.2586034428743	-24.4005379700669	-0.0941314744959768	-3.8232225650036	36.37317821059	0.0429397089232964	19.0451007030555	533.882401374819	0.261578823537424	140.92548563562	669.7324635099	0.385747680804723	186.557139152182	254747.131685415	19661.6905541682
JU2586	-0.069209186478385	-0.0450757350640147	0.0399475894009543	-0.0344558182368901	-0.012414223497742	0.00135696785207432	-137.355615246512	-21.1664066323975	-19.9173011790397	0.0359855244431554	-1.88598194432069	-53.4063128253946	0.0594575979639299	2.4441646256296	-14.034493686528	-5.4350239696777	51.9754805737294	0.144661591764489	12.6946072945191	86.2344272566353	0.335388937132486	14.5895010464458	-119.983028949771	-0.0449686483539645	-18.1028924375588	-6.11810987789879	-0.106234206357376	-28.9565551109356	-95410.4246857163	-5106.58041655533
